STATE_CODE,STATE_NAME,CITY,LATITUDE,LONGITUDE
AL,Alabama,Gurley,34.713964,-86.394028
AL,Alabama,Hackleburg,34.267803,-87.860762
AL,Alabama,Haleyville,34.231423,-87.593811
AL,Alabama,Hamilton,34.153413,-88.008521
AL,Alabama,Hanceville,34.051569,-86.784844
AL,Alabama,Hardaway,32.312939,-85.883837
AL,Alabama,Harpersville,33.36746,-86.429441
AL,Alabama,Hartford,31.08598,-85.719204
AL,Alabama,Hartselle,34.448206,-86.924235
AL,Alabama,Harvest,34.82732,-86.749929
AL,Alabama,Hatchechubbee,32.284531,-85.302882
AL,Alabama,Hayden,33.885806,-86.81767
AL,Alabama,Hayneville,32.195707,-86.654994
AL,Alabama,"Hazel Green",34.949627,-86.593484
AL,Alabama,Headland,31.353406,-85.332277
AL,Alabama,Heflin,33.611515,-85.588471
AL,Alabama,Helena,33.316978,-86.813786
AL,Alabama,Henagar,34.618604,-85.727381
AL,Alabama,Higdon,34.873247,-85.622507
AL,Alabama,"Highland Home",31.928292,-86.297111
AL,Alabama,Hillsboro,34.64763,-87.180379
AL,Alabama,Hodges,34.341664,-87.959023
AL,Alabama,Hollins,33.1175,-86.144444
AL,Alabama,"Holly Pond",34.190085,-86.617441
AL,Alabama,Hollytree,34.798979,-86.233627
AL,Alabama,Hollywood,34.730428,-85.953173
AL,Alabama,"Holy Trinity",32.222222,-85.005278
AL,Alabama,Honoraville,31.878397,-86.398064
AL,Alabama,"Hope Hull",32.224256,-86.393189
AL,Alabama,Horton,34.190033,-86.317318
AL,Alabama,Houston,34.118042,-87.26183
AL,Alabama,Huntsville,34.726866,-86.567318
AL,Alabama,Hurtsboro,32.245429,-85.395903
AL,Alabama,Huxford,31.22,-87.461944
AL,Alabama,Ider,34.735059,-85.641577
AL,Alabama,Irvington,30.480241,-88.239563
AL,Alabama,Jachin,32.244174,-88.233356
AL,Alabama,Jack,31.552392,-86.043083
AL,Alabama,Jackson,31.513098,-87.867192
AL,Alabama,"Jacksons Gap",32.879698,-85.848662
AL,Alabama,Jacksonville,33.830966,-85.77518
AL,Alabama,Jasper,33.871672,-87.249144
AL,Alabama,Jefferson,32.386667,-87.898056
AL,Alabama,Jemison,32.980539,-86.718052
AL,Alabama,Jones,32.608515,-86.889266
AL,Alabama,Joppa,34.283739,-86.551939
AL,Alabama,Kansas,33.901667,-87.551944
AL,Alabama,Kellerman,33.340556,-87.304722
AL,Alabama,Kellyton,32.979068,-86.048397
AL,Alabama,Kennedy,33.574964,-88.05172
AL,Alabama,Kent,32.618889,-85.948611
AL,Alabama,Killen,34.901632,-87.508185
AL,Alabama,Kimberly,33.768355,-86.808417
AL,Alabama,Kinston,31.262118,-86.069532
AL,Alabama,Knoxville,32.982423,-87.791855
AL,Alabama,"Laceys Spring",34.499647,-86.612869
AL,Alabama,Lafayette,32.925237,-85.442563
AL,Alabama,Lanett,32.861609,-85.21608
AL,Alabama,Langston,34.497831,-86.10563
AL,Alabama,Lapine,31.985423,-86.278534
AL,Alabama,Lawley,32.864558,-86.956708
AL,Alabama,Leeds,33.528333,-86.574824
AL,Alabama,Leesburg,34.191083,-85.77051
AL,Alabama,Leighton,34.710982,-87.522133
AL,Alabama,Lenox,31.327261,-87.19671
AL,Alabama,Leroy,31.491021,-87.968672
AL,Alabama,Lester,34.918364,-87.143396
AL,Alabama,Letohatchee,32.086199,-86.488013
AL,Alabama,Lexington,34.955924,-87.393519
AL,Alabama,Lillian,30.39724,-87.474452
AL,Alabama,Lincoln,33.605913,-86.111152
AL,Alabama,Linden,32.305343,-87.795358
AL,Alabama,Lineville,33.328613,-85.734609
